Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,employer provieded,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,Spark_yn,aws_yn,excell_yn
"Data Scientist, Health Economics & Advanced Analytics","$81K-$134K
(Glassdoor est.)","Overview


Avalere Health is seeking a Data Scientist to join our Health Economics & Advanced Analytics (HEAA) Practice. The HEAA practice works with life sciences companies and other healthcare sectors to quantify and communicate the real-world value of healthcare interventions and to align our clients’ business strategies with the evidentiary demands of an increasingly value-driven marketplace. We are driven by deep subject matter expertise, differentiated and proprietary real-world data assets, and an emphasis on sound business strategy coupled with rigorous research and advanced analytic capabilities. The data scientist will serve at the Research Scientist II level and lead and participate in the conceptualization, execution, and delivery of analyses in health economics, comparative effectiveness, performance measure development and testing, outcomes research, and epidemiology.

Responsibilities

Principal Duties and Responsibilities:


Lend deep statistical, epidemiological, and/or econometric expertise to the development of proposals, statements of work, and study protocols/statistical analysis plans
Perform descriptive and advanced statistical analyses using large patient and/or claims databases in support of data mining, predictive modeling, and health outcomes research projects
Develop and author study reports, scientific publications, conference abstracts, and posters
Independently manage workflow and make direct contributions to the research process
Collaborate with cross-functional project teams (project leads, project managers, programmers, research assistants, etc.) to support exceptional execution for clients
Support the growth and development of junior staff focused on related areas
Qualifications

Skills, Experience, and Other Job Related Requirements:


Minimum Requirements:
MA/MS or PhD in epidemiology, data science, health economics, health policy, pharmacy administration, public health, statistics, or related discipline
5+ years of consulting, healthcare, or pharmaceutical/device industry experience
Broad technical knowledge of computational science, including applied statistics, econometrics, predictive modeling, and/or AI/machine learning theory and methods
Proficiency designing and executing observational/outcomes research studies using large administrative medical and pharmacy claims, EMR, and other data derived from various public and private databases
5+ years of experience using statistical software packages such as SAS, R, Python, and/or STATA
3+ years of SQL programming experience
Knowledge of advanced analytics, AI/machine learning theory and methods, and/or econometrics
Experience presenting research results at scientific conferences and/or a record of peer-reviewed publications
Additional Skills and Competencies:
Consulting background preferred
Excellent writing, project management, communication, and presentation skills
Ability to independently manage multiple work streams with limited supervision
Demonstrated problem solving, analytical reasoning, and decision-making skills and strong commitment to meeting goals and deadlines
Excellent teamwork skills and ability to work in a fast-paced, multi-disciplinary environment
Self-motivated with a positive, flexible attitude",3.2,"Avalere Health
3.2","Washington, DC","Washington, DC",201 to 500 employees,2000,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1,0,0,81,134,107.5,"Avalere Health
3.2", DC,1,20,1,0,0,0,1
Data Analyst (Informatica),"$60K-$106K
(Glassdoor est.)","Location: Carmel, Indiana, Eagan, Minnesota, or Little Rock, Arkansas

We’re still hiring! MISO has adapted our recruiting and onboarding processes to accommodate the needs of our prospective employees in light of the current conditions. At MISO, we are committed to the health and safety of our employees while maintaining a reliable bulk electric system. We are proud to offer #workfromhome options to our employees. #stillhiring #hiring

MISO is hiring an experienced Data Analyst to maximize the use of our data so teams can efficiently and effectively make data-driven decisions while managing risks and costs. Connect users with trusted data to drive insights and allow easy access to that data. Work in an Agile environment, help oversee best practices, and work on newer technologies and tools from Informatica and IBM Netezza. This role has the ability to impact the power grid and how important business decisions are made!

As MISO’s Data Analyst, you will:
Oversee and perform ETL development work
Help define and drive the team to use ETL development best practices and standards
Create Informatica workflows to expand the data warehouse
Gather and understand business requirements from both internal MISO departments and external stakeholders supporting data decision making and driving the best outcomes
Understand and demonstrate data management best practices
Participate in a production support rotation for one week a month during business hours
We’re looking for extensive knowledge and experience in the following:
ETL development using Informatica
Data warehousing experience
SQL (or NoSQL database experience such as MongoDB)
IBM Netezza/NPS familiarity
At least 5 years’ experience in a data analyst role
Bachelor’s Degree in a technical-related field or equivalent work experience
Appropriate level will be determined based upon experience and knowledge.

Transformative innovation is happening in the electric industry; from digitalizing homes and distributed resources, to renewable energy and an ever-changing grid. MISO manages the electricity superhighway in the Central U.S. and through use of groundbreaking research and advanced technology, our highly skilled employees ensure power flows reliably to 42 million Americans. Operating the electricity grid, running a robust energy market, planning for a bright future– it’s what our immensely talented and dedicated team does every day.

Watch MISO's 80 Second Video",3.2,"MISO
3.2","Carmel, IN","Carmel, IN",501 to 1000 employees,1998,Nonprofit Organization,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,"PJM Interconnection, Southwest Power Pool",0,0,60,106,83.0,"MISO
3.2", IN,1,22,0,0,0,0,0
Data Scientist,"$77K-$92K
(Glassdoor est.)","Data Scientist
Affinity Solutions / Marketing Cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. We hire the best and brightest and give them the opportunity to work on industry-leading technologies.
The data sciences team at AFS/Marketing Cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. In this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. You'll access our core data asset and machine learning infrastructure to power your ideas.
Duties and Responsibilities
· Support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes,
· Provide innovative solutions to customized modeling/scoring/targeting with appropriate ML/statistical tools,
· Provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.
· Mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis,
· Develop and Improve automation capabilities to enable customized delivery of the analytical products to clients,
· Communicate the methodologies and the results to the management, clients and none technical stakeholders.
Basic Qualifications
· Advanced degree in Statistics/Mathematics/Computer Science/Economics or other fields that requires advanced training in data analytics.
· Being able to apply basic statistical/ML concepts and reasoning to address and solve business problems such as targeting, test design, KPI projection and performance measurement.
· Entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a high pressure environment.
· Being flexible to accept different task assignments and able to work on a tight time schedule.
· Excellent command of one or more programming languages; preferably Python, SAS or R
· Familiar with one of the database technologies such as PostgreSQL, MySQL, can write basic SQL queries
· Great communication skills (verbal, written and presentation)
Preferred Qualifications
· Experience or exposure to large consumer and/or demographic data sets.
· Familiarity with data manipulation and cleaning routines and techniques.",3.0,"Affinity Solutions
3.0","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",0,0,77,92,84.5,"Affinity Solutions
3.0", NY,1,22,1,0,0,0,1
"Data Scientist - Statistics, Early Career","$68K-$111K
(Glassdoor est.)","*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.8,"Pacific Northwest National Laboratory
3.8","Seattle, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,68,111,89.5,"Pacific Northwest National Laboratory
3.8", WA,0,55,0,0,0,0,1
Data Analyst/Programmer,"$49K-$89K
(Glassdoor est.)","Data Analyst/Programmer


Woodland Hills

Position Overview

Apollo Insurance Solutions Group seeks a Data Analyst/Programmer for its Woodland Hills, CA office. This is a new position being added to our Quantitative Development team. The Quantitative Development team maintains proprietary mortgage investment risk models used for financial reporting, risk measurement, pricing and strategic business decisions.

Primary Responsibilities

Tape cracking:
Field transformation
Data examination
Run the cracked tape through the system
Communicate with the traders on the assumptions
Update tapes once new data available
Maintain and research on the old runs
Ad hoc analysis
Development new applications and maintain the existing ones

Qualifications & Experience

Minimum Bachelor’s degree, ideally an advanced degree, in a Quantitative background (statistics, machine learning, quantitative finance, financial mathematics, computer science, econometrics, physics, mathematics)
Experience working with data processing language, Python is preferred
Experience working with basic tools such as SQL, Excel, etc.
Strong programming skills preferred
Knowledge of finance, capital markets
Detail oriented
Strong communication skills, both written and verbal
Ability to work in a fast-paced environment, under pressure and deliver on time",3.2,"Apollo Global Management
3.2","Woodland Hills, UT","New York, NY",1001 to 5000 employees,1990,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),-1,0,0,49,89,69.0,"Apollo Global Management
3.2", UT,0,30,1,0,0,0,0
Lead Data Scientist,"$80K-$94K
(Glassdoor est.)","Position: Lead Data Scientist

Location: Cincinnati, OH

Full-time, exempt

Join the PatientPoint Business Intelligence & Data Science team in our new Kenwood Cincinnati headquarters office space. Work for a growing entrepreneurial organization where you can apply your critical thinking skills and your ideas and suggestions are valued. Be a part of a team that implements emerging technology and applies the latest quantitative methods to solve complex problems.

What you will be doing

Far beyond just executing analysis, this key role collaborates, designs and creates statistical models and case study designs that fundamentally change the way we do business. See your greatest works appear in downstream dashboards, mission critical predictive models and processes that are based on successful machine learning.

Work on a team with data engineers that will build data ingestion & transformation processes to support your industry leading data science applications in predictive modeling and machine learning deployments. Design, create and deploy analytics solutions leveraging billions of log records from digital interactive touchscreen devices.

This position offers you a great opportunity to help build out an entire data science roadmap with the flexibility and the responsibility to develop accurate and reliable data products. This person plays an important role in selecting statistical methodologies and therefore must have a passion for staying current on the newest developments in the data science space.

As a data scientist, you will apply your critical thinking skills to understand and, sometimes, reframe high level business questions, prototype new ideas, run experiments, and iterate to better design data driven solutions to business problems. On other projects you might create advanced data queries and scripts for creating useful model features - including leveraging data from multiple external APIs.

There are opportunities to lead client-facing presentations, communication, and overall project ownership. Moreover, there are opportunities for data science thought leadership to lead the data science strategy and execution for large programs.

Plus, there will be minimal travel, we have a new office space, you will have career growth opportunities, you will get interesting projects and can enjoy free coffee!

What you need to be successful

A college degree and several years of work experience. Your experience should include direct hands-on work using analytics to establish and change business policy. MS degree preferred in applied statistics, computer science or engineering.

You must have strong statistical modeling skills. The ideal candidate will have advanced knowledge of machine learning and predictive modeling techniques. You will be asked to provide an example from your experience leading predictive modeling initiatives. You will need these and other skills to mine large amounts of data and perform data analysis to extract actionable insights for a wide range of topics including internal operations, product development, campaign performance, market dynamics, etc.

This position requires that you have mastery and experience with statistical programming in R and Python. You must be very proficient with Python including Pandas, NumPy and Scikit-learn. In R, you must be comfortable with the tidyverse (dplyr and ggplot2) but also specific libraries for training linear and non-linear models, survival analysis, time series forecasting, etc.

Mastery of SQL programming and relational data extract. Data definition, transformation and preaggregation techniques helpful.

Ability to break down complex business and technical problems into opportunities for analytical study. Particularly, you should have experience with and know when to apply regression analysis, A/B testing, power analysis, anomaly detection, model validation and selection, building of ensemble models, network analysis, simulation, conducting inferential analysis with spatial and time series data, nearest neighbor, deep learning methods, etc.

Experience with data visualization tools (ex: Microsoft PowerBI)

Excellent verbal, written, and presentation skills demonstrating an ability to ""tell a story"", listening and persuasion.

Experience with storage and retrieval of data in NoSQL databases helpful.

Visa sponsorship is not available for this position.

Kudos if you have:

Working knowledge of graph databases.

Experience with Microsoft SQL Server Integration Services (SSIS 2012 and higher).

Experience with geospatial analysis.

Experience with reporting using SalesForce Wave or Einstein Analytics

This is an excellent opportunity and includes a competitive pay and benefits package, including health, dental, vision, disability, and life insurance as well as 401(k) retirement plan with matching company contribution, paid time off, and holidays. No relocation is available.

PatientPoint® is a patient engagement solutions company passionately committed to making every doctor-patient engagement better. By harnessing the power of technology, our omnichannel platform more effectively educates and empowers patients, caregivers and staff to deliver improved health outcomes and an enhanced patient experience. For 30 years, hospitals, health systems, physician offices and sponsoring brands have trusted PatientPoint and its more than 450 team members to provide a uniquely integrated experience across care settings. Learn more at patientpoint.com.

Employer is EOE/M/F/D/V",3.9,"PatientPoint
3.9","Cincinnati, OH","Cincinnati, OH",201 to 500 employees,1987,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Outcome Health, Health Media Network, Mesmerize Marketing",0,0,80,94,87.0,"PatientPoint
3.9", OH,1,33,1,0,0,0,1
Senior Healthcare Analyst/Data Scientist,"$52K-$92K
(Glassdoor est.)","This position is responsible for collaborating with clients, operational leads and subject matter experts to develop and implement tactics and strategy for optimizing profitability, clinical performance, member and provider satisfaction and client satisfaction by developing and leveraging analytic tools, financial models and reports, marketing and outreach. In addition to being an expert SAS, Tableau and Excel developer, each Lead Healthcare Analyst is responsible for maintaining close collaborative relationships with one or more DentaQuest Regional Vice Presidents and all client and provider directors and managers within the states in the assigned region, and for presenting recommendations, strategies and findings. The Lead Healthcare Analyst will organize, lead and support efforts to measure, analyze and report on trends enterprise-wide related to provider utilization, reimbursements, access to care, cost management, etc. and identify and promote strategies to positively influence access to quality, cost effective care and improved program performance. This individual will also work with other areas of the company, including Underwriting, Provider Services, Clinical Management and Client Services to assist in the understanding of provider cost and network trends impacting program costs and profitability and to recommend strategies for improvement wherever possible.

PRIMARY JOB RESPONSIBILITIES:
• Lead point of contact for a DentaQuest business region.
• Responsible for tactical and strategic partnership with a Regional Vice President in identifying, interpreting, prioritizing, designing and procuring analyses guide business decisions.
• Responsible for partnering with business and clinical teams and other internal clients and resources to enable and execute impactful, accurate business analytics.
• Lead analytic projects and coordinate teams of analysts and programmers to deliver on internal client needs.
• Develop, maintain and enforce compliance with project and campaign plans.
• Use SAS, Python, R and other tools to analyze complex business challenges and help to define best practices for:
o Outcomes measurement
o Provider optimization
o Benefit structures and algorithms
o System edits, fraud detection, UM and UR
o Member behavior management
• Present technical findings and methodologies and present recommendations to senior clients in written and visual presentations.
• Provide mentoring and support to analysts to assist in their development and ability to meet department needs.
• Monitor and track provider reimbursements to identify strategies to ensure access and profitability targets are met in a manner that is consistent with quality, cost effective care.
• Work with other internal departments as necessary to develop strategies and programs to manage dental costs within each market to assure profitability and budgetary goals are met.
• Provide recommendations on department policies, objectives and initiatives. Evaluate and suggest changes as necessary to optimize processes and efficiencies.
• Participate in special projects as needed or requested.
• Adhere to DentaQuest and Business Analytics business processes, SOPs and quality control standards.

REQUIRED:
• Bachelors degree in Computer Science, Math, Finance, Economics or business-related field or equivalent experience.
• 5+ years experience in data management, analysis and reporting to include experience with combining clinical and financial data.
• Advanced experience with database and business intelligence tools such as SAS, Python, R, Tableau, Cognos, MS Report Manager and Report Builder.
• Experience designing and implementing complex algorithms and/or quality metrics.
• Knowledge of health care industry is preferred.
• Strong foundation in statistical theory and practice required.
• Demonstrated ability to analyze and solve complex problems.
• Excellent PC skills with proficiency in Excel essential.
• Strong customer service and analytical skills.
• Strong time management and business process skills.
• Ability work well with others.
• Ability to meet multiple deadlines in a fast-paced environment.

PHYSICAL DEMANDS:
• Ability to work in a traditional professional office setting or remote equivalent.
• Ability to effectively operate computer equipment.
• Work schedule may vary and is determined by project schedules.
• Ability to travel as projects dictate.
• Ability to efficiently operate all job-related office equipment.
• Ability to communicate via telephone and work in virtual teams.
• Ability to work in a dynamic environment.",3.2,"DentaQuest
3.2","Milwaukee, WI","Boston, MA",1001 to 5000 employees,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),"MCNA Dental Plans, United Concordia, Delta Dental Plans Association",0,0,52,92,72.0,"DentaQuest
3.2", WI,0,19,1,0,0,0,1
LEAD COMPUTER SCIENTIST - SR. COMPUTER SCIENTIST - SPACE DATA SYSTEMS,"$75K-$127K
(Glassdoor est.)","Our Space Data Systems team is looking for a Software Lead to manage the development of Java web applications to support a variety of NASA/ESA space missions. The applications support space missions by providing tools for planning mission activities, instrument telemetry data management, data analysis, spaceflight operations tools, and space manufacturing support. Responsibilities will include leading software developers, developing software in Java in accordance with the SDS software engineering process, creating and improving existing web pages with JavaScript, Spring, jQuery, and CSS, writing SQL to work with MariaDB and Oracle databases, and collaborating with scientists and engineers to plan new features and review products in development.


Education/Experience:


Requires a BS or MS degree in Computer Science. Must have at least a 3.0 GPA. Must have at least 5 years of software development experience. Must have experience as a software lead, software technical lead or software project manager. Experience with Java or either C++, C#, Groovy, or Scala and willingness to learn Java is required. JSP, Servlet, Spring, or SQL experience (Oracle or MySQL) is preferred. Experience with JavaScript, jQuery, and CSS is a plus. Experience with Apache HTTPD and Apache Tomcat is a plus. Experience developing solutions from customer interactions is a plus. A valid/clear driver's license is required.


Special Considerations:


Must be a U.S. citizen or Permanent Resident due to ITAR work in section.

Job Locations: San Antonio, Texas


For more information about this division, visit the Space Science & Engineering home page.

An Equal Employment Opportunity/Affirmative Action Employer
Race/Color/Religion/Sex/Sexual Orientation/Gender Identity/National Origin/Disabled/Veteran
Committed to Diversity in the Workplace",4.1,"Southwest Research Institute
4.1","San Antonio, TX","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International",0,0,75,127,101.0,"Southwest Research Institute
4.1", TX,1,73,0,0,0,0,0
Scientist,"$29K-$65K
(Glassdoor est.)","Join us as we Rise to the Challenge
At KCI, we’re building an enduring company that provides unparalleled value to our employee-owners. We make our mark designing and delivering our world-class solutions, so we invest deeply in developing our team. We reward integrity and commitment, and when we do well, you do well. Our people have freedom to innovate, unlimited growth, a voice that matters, a lifestyle that works, and skin in the game. Because life’s more fun when you own it.
THE COMPANY
KCI Technologies, Inc. is a 100% employee-owned engineering, consulting and construction firm serving clients throughout the United States. KCI is recognized as an industry leader, employing cutting-edge technologies, management practices and strategic growth initiatives. Employee ownership fosters an entrepreneurial spirit, encourages technical expertise, and shapes strategic planning.

Selected candidate will provide environmental regulatory compliance consulting support under a contract with a major regional transit client. In particular, selected candidate will provide technical support to ensure compliance with federal, state and local air quality regulations. Specific air quality compliance consulting duties may include:
Review and evaluate chemical product SDS sheets and information to determine VOC compliance
Assist with air emissions inventories and compliance reporting
Prepare semi-annual reports and annual certification for Title V air permit
Evaluate new facilities or renovated facilities for permit applicability

Bachelor of Science or Master of Science in Natural or Environmental or related field.
Minimum of 2 - 4 years of professional experience.
Pre-employment drug screening is a condition of employment. Background and motor vehicle checks may be required based upon position.

Complete Annual Individual Training Program
Train adequate backup personnel to support your role in your absence
Attend meetings with clients as required
Comply with all KCI policies and procedures
Ensure projects fulfill ISO compliance requirements
Complete other duties as required/assigned
Assist with preparation of proposals and qualifications in repsonse to RFPs and RFQs
Achieve or exceed budgeted individual utilization target(85% typical)
Attend bi-weekly(or more frequently as necessary) meetings with project team on all projects/tasks
Complete all tasks on time and within budget while fully meeting the scope
Operate within specified (corporate or project) budget parameters
Assess and document potential project impacts
Collect required field data using proper protocols and techniques
Lead field surveys
Lead the development of and assemble organized, clear, and cohesive technical reports
Prepare avoidance or minimization recommendations
Prepare mitigation strategy and plan as required
Process field data for inclusion in reports and deliverables
Review and interpret lab results
KCI Technologies, Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.",3.6,"KCI Technologies
3.6","Sparks, MD","Glencoe, MD",1001 to 5000 employees,1988,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD),-1,0,0,29,65,47.0,"KCI Technologies
3.6", MD,0,32,0,0,0,0,0
Data Engineer,"$68K-$113K
(Glassdoor est.)","A Bit about Us

Our organization was founded in 1953 by Louis Spaw and Frank Glass, hence the name SpawGlass. With 10 offices across Texas, the company now has approximately 750 employees statewide and is 100 percent employee-owned with ownership open to all employees. Our DNA is comprised of five core values: Build Trust, Be Professional, Live Teamwork, Be Passionate and Think Like an Owner and our purpose is to provide our clients with the absolute best construction experience.

What Sets Us Apart

We don't just build buildings, we build people, and our core values aren't just stated, they're practiced. We not only want to hire difference makers; we also want to retain them. The average tenure of our team members is 10 years – more than twice the median years of tenure in the construction industry nationwide.

Accountabilities:
Build a growth mindset
Develop and maintain excellent relationships with project team members
Assist with the design and management of the technology stack used for data storage and processing.
Analyze and translate business needs into data deliverables
Design and development of API interfaces with off-site application/software suites.
Creation of dashboards, reports or downstream data feeds from existing applications
Create and manage data models, data flow diagrams, data mappings, and data dictionaries
Develop and manage databases, data pipelines, data warehouses, data marts and data lakes
Identify and reconcile data quality and inconsistency issues
Facilitate data integration and transformation requirements for moving data between applications; ensuring interoperability of applications with database, data warehouse and data mart environments
Work with leadership and information security team to ensure confidentiality, integrity and availability of data and recommending improvements
Minimum Education:

A four year technical degree in computer science, engineering, data science or a related field.

Relevant experience with certifications such as MTA-SQL, MCSA Database Development/DBA/BIDS will also be considered.

Experience Required: 6+ years

IT Technologies Preferred:
Microsoft SQL Server
Microsoft Office Suite
Microsoft SSRS
RDBMS
Knowledge of the following is a plus, but not required:
Programming Languages (.NET, VBA, C#, Python)
Microsoft SSAS
Oracle 9i or later
Microsoft Power BI
NoSQL
Data Management Skills Preferred:

Strong understanding of the following:
Database Administration Principles
T-SQL/PSQL
Data Models/Normalizations
Databases
Data Integration
Data Analytics
Knowledge of the following is a plus:
Cloud Data Architecture
Data Warehouses/Data Marts
ETL/API Integrations
Business Intelligence
Master Data Management
Robotic Process Automation (RPA)
Work Environment:

Corporate office environment

Monday – Friday, 8:00 am – 5:00 pm

SpawGlass is an Equal Opportunity Employer.",4.4,"SpawGlass
4.4","Houston, TX","Houston, TX",501 to 1000 employees,1953,Subsidiary or Business Segment,Construction,"Construction, Repair & Maintenance",$500 million to $1 billion (USD),-1,0,0,68,113,90.5,"SpawGlass
4.4", TX,1,67,1,0,0,0,1
Data Engineer,"$72K-$135K
(Glassdoor est.)","ARC is searching for a Data Engineer to join our team! In this role, you will provide software development and product delivery support for data products and product teams. You will be responsible for product delivery data pipelines and the product lifecycle with direction from the Product Owner, the Solution Owner and technical guidance from Solution Architects.
If you are searching for a position where you can lend your technical expertise and experience professional growth, then we want to hear from you.

Support data pipeline development by contributing to and or leveraging existing architectural patterns to deliver the optimal product related to data; including but not limited to establishing and communicating design patterns, automation, recovery, and operational run books. Mentor other engineers. Cross functional collaboration and provide overall technical and thought leadership to other teams as needed.
Partner with product owners and business SMEs to analyze the business need and provide a supportable and sustainable engineered solution. Ensure that the overall technical solution is aligned with the business needs and adheres to ARC’s Architectural Guiding Principals.
Help drive the creation and modifications of the product portfolio components, identify and engage all technical resources necessary to contribute to the solution. Ensure the solution is consistent with ARC architecture, design and development standards.
Develop data pipelines using industry best practices. Make adjustments to adopt new methodologies that provide the business with increased flexibility and agility.
Stay current with latest cloud technologies, patterns, and methodologies; share knowledge by clearly articulating results and ideas to key stakeholders. May be required to present ideas to larger audience for review and buy-in.

Bachelor’s Degree in Computer Science or related field; or equivalent experience
3+ years of experience with full cycle application development (Full SDLC experience: design, development, delivery, etc.),
3+ years with Agile, Scrum, DevOps, and Continuous Integration and Continuous Delivery
3+ years of experience implementing modern applications using:
Cloud Based Solutions/Technologies (AWS, Google, Azure). AWS tech stack including, but not limited to, Lambda, API Gateway, DynamoDB, S3, Cloudwatch, SNS/SQS, Step Functions, Fargate
Implementation of modern application and infrastructure design patterns, including micro-services and containers, disposable, reactive, stateless and distributed patterns
Open source technologies including, but not limited to, NodeJS, OpenJDK, React, Python and NoSQL, DynamoDB database(s)
Familiarity with DevOps tools including, but not limited to, Terraform/Cloud formation, CI/CD pipe line tool like Jenkins, GIT, Jira, Confluence, Jenkins, Sonar, Nexus, automated test and deployment tools
Data warehouse platforms (such as Snowflake, and Redshift). Expertise with SQL, database design/structures, ETL/ELT design patterns, and datamart structures (star, snowflake schemas, etc.)
Experience w/Data Lake concepts and design patters (AWS S3, parquet, python, lambda, java, NoSQL
BI Technologies (such as Tableau, Jasper, Cognos, Qlik, Looker, and others)
Understanding of Data Management and Data governance best practices
You Will Also Bring These Professional Skills:
Proven ability to lead a group through an architectural development process and collaborate with stakeholders at all levels
Experience leading small technical teams to mentor and guide multiple-disciplined (full stack) technical teams
Ability to discover and define functional requirements and to transform them into technical requirements and solutions
Ability to influence technology strategy and best practices across peer and leadership groups to support an agile development culture
Outstanding communication skills (verbal and written) and ability to communicate with internal and external customers and all levels of management, including communicating technical information to nontechnical audiences
A strong intellectual curiosity to continually challenge what exists and explore what should be changed to best meet evolving business and market
A strong passion to support peers to help meet timelines on larger projects

Joining ARC means joining a team that is motivated, diverse, creative, collaborative and solutions-oriented. We think big, embrace challenges, and explore new ideas to lead the way for the travel industry.
Our employees value the hands-on learning and professional development opportunities that allow them to expand their skills and grow their career in new, dynamic ways.
We offer a highly competitive, comprehensive benefits package so you can worry less and focus on what truly matters.
By joining ARC, you will partner with top minds in the industry as we use data and technology to innovate how the world travels.
EOE M/F/D/V Females and Minorities Encouraged to Apply",3.9,"Airlines Reporting Corporation
3.9","Arlington, VA","Arlington, VA",201 to 500 employees,1984,Company - Private,Financial Transaction Processing,Finance,$100 to $500 million (USD),-1,0,0,72,135,103.5,"Airlines Reporting Corporation
3.9", VA,1,36,1,0,0,1,0
